corpus,source_file,source,subsource,segment_id,total_words,total_chars,sentence_count,avg_sentence_len_words,var_sentence_len_words,short_sentence_ratio,fw::je,fw::tu,fw::il,fw::elle,fw::on,fw::nous,fw::vous,fw::ils,fw::elles,fw::me,fw::te,fw::se,fw::moi,fw::toi,fw::lui,fw::leur,fw::leurs,fw::ce,fw::cet,fw::cette,fw::ces,fw::ça,fw::cela,fw::c,fw::ca,fw::le,fw::la,fw::les,fw::un,fw::une,fw::des,fw::du,fw::de,fw::d,fw::au,fw::aux,fw::en,fw::dans,fw::sur,fw::sous,fw::chez,fw::par,fw::pour,fw::avec,fw::sans,fw::entre,fw::vers,fw::contre,fw::avant,fw::apres,fw::après,fw::et,fw::ou,fw::mais,fw::donc,fw::or,fw::ni,fw::car,fw::que,fw::qu,fw::qui,fw::quoi,fw::dont,fw::où,fw::si,fw::comme,fw::quand,fw::lorsque,fw::puisque,fw::parce,fw::afin,fw::ne,fw::pas,fw::plus,fw::moins,fw::jamais,fw::toujours,fw::rien,fw::tout,fw::tous,fw::toute,fw::toutes,fw::aucun,fw::aucune,fw::être,fw::etre,fw::avoir,fw::faire,fw::aller,fw::venir,fw::dire,fw::voir,dm::en fait,dm::je pense,dm::je pense que,dm::donc,dm::cependant,dm::en revanche,dm::d'ailleurs,dm::alors,dm::du coup,dm::finalement,dm::au fond,dm::en somme,dm::eh bien,dm::bon,dm::voilà,dm::en tout cas,dm::or,dm::ainsi,dm::par ailleurs
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_0,988,6027,54,18.296296296296298,95.68998628257887,0.14814814814814814,0.012145748987854251,0.0,0.008097165991902834,0.0,0.006072874493927126,0.008097165991902834,0.0010121457489878543,0.00708502024291498,0.0010121457489878543,0.0,0.0,0.00708502024291498,0.0,0.0,0.004048582995951417,0.003036437246963563,0.006072874493927126,0.009109311740890687,0.0,0.004048582995951417,0.003036437246963563,0.0,0.0,0.0,0.0,0.011133603238866396,0.029352226720647773,0.024291497975708502,0.005060728744939271,0.005060728744939271,0.01720647773279352,0.006072874493927126,0.04149797570850203,0.0,0.0020242914979757085,0.0,0.018218623481781375,0.011133603238866396,0.005060728744939271,0.0,0.0,0.0010121457489878543,0.00708502024291498,0.006072874493927126,0.00708502024291498,0.0,0.0,0.0,0.0,0.0,0.0020242914979757085,0.02125506072874494,0.0,0.009109311740890687,0.0010121457489878543,0.0,0.0010121457489878543,0.0,0.008097165991902834,0.0,0.01720647773279352,0.0,0.0010121457489878543,0.0020242914979757085,0.004048582995951417,0.0010121457489878543,0.0,0.0010121457489878543,0.0,0.0010121457489878543,0.0,0.004048582995951417,0.005060728744939271,0.015182186234817813,0.0020242914979757085,0.004048582995951417,0.0010121457489878543,0.0,0.003036437246963563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020242914979757085,0.0,0.0,0.0010121457489878543,0.0010121457489878543,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_1,968,5632,70,13.82857142857143,80.9134693877551,0.3142857142857143,0.007231404958677686,0.0010330578512396695,0.02169421487603306,0.002066115702479339,0.007231404958677686,0.004132231404958678,0.0010330578512396695,0.0,0.0,0.004132231404958678,0.0010330578512396695,0.005165289256198347,0.0010330578512396695,0.0,0.002066115702479339,0.0010330578512396695,0.0,0.007231404958677686,0.0,0.0010330578512396695,0.002066115702479339,0.002066115702479339,0.0010330578512396695,0.0,0.0,0.022727272727272728,0.029958677685950414,0.015495867768595042,0.009297520661157025,0.010330578512396695,0.02169421487603306,0.012396694214876033,0.04648760330578512,0.0,0.008264462809917356,0.002066115702479339,0.014462809917355372,0.007231404958677686,0.009297520661157025,0.002066115702479339,0.0010330578512396695,0.002066115702479339,0.0030991735537190084,0.005165289256198347,0.0030991735537190084,0.0,0.0010330578512396695,0.0,0.0010330578512396695,0.0,0.0,0.022727272727272728,0.0030991735537190084,0.006198347107438017,0.0,0.0,0.0,0.0010330578512396695,0.0030991735537190084,0.0,0.009297520661157025,0.0,0.0010330578512396695,0.0010330578512396695,0.0010330578512396695,0.005165289256198347,0.0,0.0010330578512396695,0.0,0.0,0.0,0.005165289256198347,0.008264462809917356,0.004132231404958678,0.0010330578512396695,0.002066115702479339,0.002066115702479339,0.002066115702479339,0.0010330578512396695,0.0010330578512396695,0.0,0.0,0.0,0.0,0.0030991735537190084,0.0,0.0,0.002066115702479339,0.0,0.0,0.0010330578512396695,0.0010330578512396695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_2,956,5637,66,14.484848484848484,55.85583103764922,0.21212121212121213,0.0,0.007322175732217573,0.02510460251046025,0.0010460251046025104,0.006276150627615063,0.0031380753138075313,0.0,0.0020920502092050207,0.0,0.0,0.0,0.013598326359832637,0.0,0.0,0.0020920502092050207,0.0,0.0,0.007322175732217573,0.0,0.0,0.0020920502092050207,0.0,0.0,0.0010460251046025104,0.0,0.027196652719665274,0.034518828451882845,0.028242677824267783,0.007322175732217573,0.012552301255230125,0.011506276150627616,0.006276150627615063,0.038702928870292884,0.0,0.0041841004184100415,0.0031380753138075313,0.012552301255230125,0.006276150627615063,0.0020920502092050207,0.0,0.0,0.0031380753138075313,0.008368200836820083,0.0020920502092050207,0.0020920502092050207,0.0,0.0020920502092050207,0.0010460251046025104,0.0010460251046025104,0.0,0.0020920502092050207,0.02301255230125523,0.0031380753138075313,0.0031380753138075313,0.0,0.0,0.0010460251046025104,0.0,0.010460251046025104,0.0,0.005230125523012552,0.0,0.0,0.0010460251046025104,0.0020920502092050207,0.0031380753138075313,0.0020920502092050207,0.0020920502092050207,0.0,0.0,0.0,0.006276150627615063,0.006276150627615063,0.012552301255230125,0.0010460251046025104,0.0031380753138075313,0.0,0.0031380753138075313,0.0041841004184100415,0.0020920502092050207,0.0,0.0010460251046025104,0.0,0.0,0.0,0.0,0.0010460251046025104,0.0031380753138075313,0.0,0.0010460251046025104,0.0010460251046025104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_3,982,6131,48,20.458333333333332,102.95659722222223,0.10416666666666667,0.0010183299389002036,0.0,0.013238289205702648,0.003054989816700611,0.003054989816700611,0.003054989816700611,0.0,0.002036659877800407,0.0,0.0,0.0,0.002036659877800407,0.0,0.0,0.0010183299389002036,0.003054989816700611,0.003054989816700611,0.002036659877800407,0.0010183299389002036,0.002036659877800407,0.002036659877800407,0.0,0.0,0.0,0.0,0.020366598778004074,0.03054989816700611,0.028513238289205704,0.009164969450101833,0.013238289205702648,0.017311608961303463,0.007128309572301426,0.059063136456211814,0.0,0.0050916496945010185,0.0050916496945010185,0.013238289205702648,0.01120162932790224,0.004073319755600814,0.002036659877800407,0.0,0.008146639511201629,0.006109979633401222,0.003054989816700611,0.0050916496945010185,0.002036659877800407,0.0,0.003054989816700611,0.0010183299389002036,0.0,0.0,0.024439918533604887,0.004073319755600814,0.002036659877800407,0.0,0.0,0.0010183299389002036,0.0,0.010183299389002037,0.0,0.01120162932790224,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0010183299389002036,0.007128309572301426,0.0,0.016293279022403257,0.0,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.0,0.0010183299389002036,0.0,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_4,967,5548,68,14.220588235294118,71.96604671280276,0.3382352941176471,0.005170630816959669,0.0031023784901758012,0.031023784901758014,0.0031023784901758012,0.002068252326783868,0.0,0.0,0.001034126163391934,0.0,0.0062047569803516025,0.0,0.005170630816959669,0.0,0.0,0.007238883143743537,0.001034126163391934,0.001034126163391934,0.009307135470527405,0.001034126163391934,0.007238883143743537,0.0,0.001034126163391934,0.001034126163391934,0.0,0.0,0.033092037228541885,0.01964839710444674,0.014477766287487074,0.017580144777662874,0.008273009307135471,0.011375387797311272,0.011375387797311272,0.04963805584281282,0.0,0.010341261633919338,0.002068252326783868,0.011375387797311272,0.009307135470527405,0.004136504653567736,0.001034126163391934,0.001034126163391934,0.008273009307135471,0.014477766287487074,0.007238883143743537,0.002068252326783868,0.001034126163391934,0.0,0.0,0.001034126163391934,0.0,0.0,0.014477766287487074,0.0,0.0031023784901758012,0.0,0.0,0.0,0.0,0.016546018614270942,0.0,0.010341261633919338,0.0,0.0,0.0062047569803516025,0.002068252326783868,0.0031023784901758012,0.001034126163391934,0.0,0.0,0.001034126163391934,0.0,0.008273009307135471,0.005170630816959669,0.009307135470527405,0.001034126163391934,0.002068252326783868,0.002068252326783868,0.002068252326783868,0.001034126163391934,0.0,0.0,0.0,0.0,0.0,0.001034126163391934,0.0,0.001034126163391934,0.005170630816959669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_5,984,5930,69,14.26086956521739,103.38122243226213,0.3188405797101449,0.0040650406504065045,0.0,0.017276422764227643,0.0,0.0010162601626016261,0.00508130081300813,0.0,0.0010162601626016261,0.0,0.0040650406504065045,0.0,0.007113821138211382,0.0,0.0,0.006097560975609756,0.0010162601626016261,0.0010162601626016261,0.01016260162601626,0.0,0.0040650406504065045,0.0,0.0010162601626016261,0.0,0.0,0.0,0.024390243902439025,0.02540650406504065,0.013211382113821139,0.017276422764227643,0.011178861788617886,0.017276422764227643,0.011178861788617886,0.051829268292682924,0.0,0.00508130081300813,0.0010162601626016261,0.012195121951219513,0.01016260162601626,0.0040650406504065045,0.0020325203252032522,0.0,0.007113821138211382,0.014227642276422764,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0020325203252032522,0.0,0.0010162601626016261,0.017276422764227643,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.008130081300813009,0.0,0.012195121951219513,0.0,0.0,0.0010162601626016261,0.0010162601626016261,0.003048780487804878,0.0020325203252032522,0.0010162601626016261,0.0,0.0020325203252032522,0.0,0.0040650406504065045,0.00508130081300813,0.003048780487804878,0.0,0.0020325203252032522,0.0010162601626016261,0.0,0.0020325203252032522,0.0020325203252032522,0.0,0.0,0.0,0.0,0.003048780487804878,0.0,0.0,0.0020325203252032522,0.0,0.0010162601626016261,0.0020325203252032522,0.0010162601626016261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_6,954,5695,90,10.6,51.66222222222222,0.5,0.009433962264150943,0.010482180293501049,0.019916142557651992,0.0010482180293501049,0.0,0.0020964360587002098,0.0,0.0041928721174004195,0.0,0.007337526205450734,0.0,0.011530398322851153,0.0,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.0041928721174004195,0.0,0.0010482180293501049,0.0,0.0031446540880503146,0.0010482180293501049,0.0,0.0,0.023060796645702306,0.019916142557651992,0.015723270440251572,0.018867924528301886,0.016771488469601678,0.014675052410901468,0.0041928721174004195,0.033542976939203356,0.0,0.0031446540880503146,0.0,0.007337526205450734,0.010482180293501049,0.0031446540880503146,0.0,0.0,0.007337526205450734,0.010482180293501049,0.0031446540880503146,0.005241090146750524,0.0010482180293501049,0.0,0.0010482180293501049,0.0,0.0,0.0020964360587002098,0.011530398322851153,0.0,0.005241090146750524,0.0,0.0,0.0020964360587002098,0.0,0.008385744234800839,0.0,0.008385744234800839,0.0010482180293501049,0.0,0.0020964360587002098,0.0020964360587002098,0.0020964360587002098,0.0,0.0,0.0,0.0,0.0,0.010482180293501049,0.007337526205450734,0.007337526205450734,0.0,0.0031446540880503146,0.0,0.0031446540880503146,0.0041928721174004195,0.0010482180293501049,0.0010482180293501049,0.0,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0010482180293501049,0.0,0.0020964360587002098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_7,982,6005,54,18.185185185185187,114.89163237311385,0.14814814814814814,0.009164969450101833,0.0,0.013238289205702648,0.004073319755600814,0.004073319755600814,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0,0.0,0.004073319755600814,0.0010183299389002036,0.0,0.006109979633401222,0.0,0.0,0.006109979633401222,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.019348268839103868,0.03054989816700611,0.020366598778004074,0.015274949083503055,0.016293279022403257,0.014256619144602852,0.012219959266802444,0.06008146639511202,0.0,0.008146639511201629,0.003054989816700611,0.010183299389002037,0.01120162932790224,0.004073319755600814,0.0,0.002036659877800407,0.0050916496945010185,0.012219959266802444,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.023421588594704685,0.0010183299389002036,0.0050916496945010185,0.0,0.0,0.0,0.0,0.01120162932790224,0.0,0.013238289205702648,0.0,0.0010183299389002036,0.0010183299389002036,0.0010183299389002036,0.0050916496945010185,0.002036659877800407,0.0,0.0,0.004073319755600814,0.0010183299389002036,0.006109979633401222,0.007128309572301426,0.007128309572301426,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.037037037037037035,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_8,974,5789,86,11.325581395348838,49.52190373174689,0.4418604651162791,0.008213552361396304,0.004106776180698152,0.026694045174537988,0.006160164271047228,0.002053388090349076,0.001026694045174538,0.0,0.001026694045174538,0.0,0.001026694045174538,0.0,0.004106776180698152,0.0,0.0,0.004106776180698152,0.0,0.0,0.006160164271047228,0.0,0.0,0.002053388090349076,0.001026694045174538,0.0,0.0,0.0,0.024640657084188913,0.03490759753593429,0.017453798767967144,0.022587268993839837,0.011293634496919919,0.007186858316221766,0.008213552361396304,0.039014373716632446,0.0,0.004106776180698152,0.003080082135523614,0.01642710472279261,0.013347022587268994,0.007186858316221766,0.001026694045174538,0.001026694045174538,0.004106776180698152,0.004106776180698152,0.004106776180698152,0.002053388090349076,0.001026694045174538,0.0,0.0,0.002053388090349076,0.0,0.001026694045174538,0.028747433264887063,0.001026694045174538,0.004106776180698152,0.0,0.0,0.0,0.0,0.004106776180698152,0.0,0.00513347022587269,0.0,0.0,0.001026694045174538,0.001026694045174538,0.002053388090349076,0.0,0.0,0.0,0.0,0.0,0.007186858316221766,0.011293634496919919,0.009240246406570842,0.0,0.001026694045174538,0.0,0.002053388090349076,0.003080082135523614,0.0,0.0,0.001026694045174538,0.0,0.0,0.001026694045174538,0.0,0.0,0.001026694045174538,0.0,0.0,0.0,0.001026694045174538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,blocks_livres_bardella.json,livres_bardella,ce_que_veulent_bardella,ce_que_veulent_bardella_9,945,5621,102,9.264705882352942,35.35149942329873,0.5784313725490197,0.01798941798941799,0.004232804232804233,0.02962962962962963,0.0,0.0031746031746031746,0.0010582010582010583,0.0,0.005291005291005291,0.0,0.008465608465608466,0.0,0.008465608465608466,0.0031746031746031746,0.0,0.005291005291005291,0.0010582010582010583,0.0,0.008465608465608466,0.0010582010582010583,0.0010582010582010583,0.0,0.005291005291005291,0.0,0.0,0.0,0.020105820105820106,0.013756613756613757,0.020105820105820106,0.015873015873015872,0.012698412698412698,0.010582010582010581,0.007407407407407408,0.0328042328042328,0.0,0.007407407407407408,0.0,0.005291005291005291,0.005291005291005291,0.004232804232804233,0.0,0.0,0.004232804232804233,0.008465608465608466,0.006349206349206349,0.0021164021164021165,0.0,0.0010582010582010583,0.0,0.0010582010582010583,0.0,0.0,0.015873015873015872,0.0021164021164021165,0.008465608465608466,0.0010582010582010583,0.0,0.0,0.0,0.005291005291005291,0.0,0.005291005291005291,0.0,0.0,0.0021164021164021165,0.0,0.004232804232804233,0.006349206349206349,0.0,0.0,0.0,0.0,0.009523809523809525,0.013756613756613757,0.008465608465608466,0.0,0.0031746031746031746,0.0021164021164021165,0.0010582010582010583,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.005291005291005291,0.0,0.0010582010582010583,0.004232804232804233,0.0010582010582010583,0.0010582010582010583,0.0010582010582010583,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0
